"콘텐츠분류";"제목";"지번주소";"도로명주소";"위도";"경도"
"관광지";"숫모르편백나무숲길";"제주특별자치도 제주시 용강동 산 14-1";"제주특별자치도 제주시 516로 2596";33.430923;126.595764
"관광지";"소정방폭포";"제주특별자치도 서귀포시 동홍동 234-8";"제주특별자치도 서귀포시 칠십리로214번길 17-17";33.2450745;126.5774938
"관광지";"협재포구";"제주특별자치도 제주시 한림읍 협재리";"제주특별자치도 제주시 한림읍 협재리";33.39929;126.24321
"관광지";"황우지해안 열두굴";"제주특별자치도 서귀포시 서홍동 764-1";"제주특별자치도 서귀포시 서홍동 764-1";33.23915;126.54786
"관광지";"족은사슴이오름";"제주특별자치도 서귀포시 표선면 가시리 산 87-24";"제주특별자치도 서귀포시 표선면 녹산로 536";33.3988071;126.7063341
"관광지";"검멀레해변";"제주특별자치도 제주시 우도면 우도해안길";"제주특별자치도 제주시 우도면 우도해안길";33.49698481;126.9686027
"관광지";"산방산탄산온천";"제주특별자치도 서귀포시 안덕면 사계북로 41번길 192";"제주특별자치도 서귀포시 안덕면 사계북로 41번길 192";33.248665;126.29896
"관광지";"여미지식물원";"제주특별자치도 서귀포시 색달동 2484-1";"제주특별자치도 서귀포시 중문관광로 93";33.252617;126.41435
"관광지";"태흥포구";"제주특별자치도 서귀포시 남원읍 태흥리";"제주특별자치도 서귀포시 남원읍 태흥리";33.2868;126.75014
"관광지";"다려도";"제주특별자치도 제주시 조천읍 북촌리";"제주특별자치도 제주시 조천읍 북촌리";33.555916;126.69623
"관광지";"그랑블루 요트투어";"제주특별자치도 서귀포시 대포동 2367-1";"제주특별자치도 서귀포시 대포로 174";33.238754;126.439644
"관광지";"금룡사";"제주특별자치도 제주시 구좌읍 김녕리 1145-49";"제주특별자치도 제주시 구좌읍 김녕로 148-11";33.5398407;126.746583
"관광지";"전농로 서사라문화거리";"제주특별자치도 제주시 삼도2동 1230-4";"제주특별자치도 제주시 서사로7길 27";33.506634;126.522415
"관광지";"왕이메오름";"제주특별자치도 서귀포시 안덕면 광평리 산 79";"제주특별자치도 서귀포시 안덕면 광평리 산 79";33.340233;126.37479
"관광지";"바늘오름";"제주특별자치도 제주시 조천읍 교래리 산 108";"제주특별자치도 제주시 조천읍 교래리 산 108";33.42869209;126.6682969
"관광지";"234";"서울 강북구 수유동 1-20 ";"서울 강북구 수유로23가길 4 (수유동) ";0.0;0.0
