"콘텐츠분류";"제목";"지번주소";"도로명주소";"위도";"경도"
"전기차 충전소";"동홍동주민센터";"제주특별자치도 서귀포시 동홍로 104(동홍동)";"";126.568974;33.257785
"전기차 충전소";"동홍동주민센터";"제주특별자치도 서귀포시 동홍로 104(동홍동)";"";126.568974;33.257785
"전기차 충전소";"서귀포중앙 골프연습장";"제주특별자치도 서귀포시 동홍로 303번길 30";"";126.564034;33.274426
"전기차 충전소";"동홍119센터";"제주특별자치도 서귀포시 동홍로 31-7(동홍동)";"";126.567215;33.251174
"전기차 충전소";"서귀포시민회관";"제주특별자치도 서귀포시 동홍로 31-7(동홍동)";"";126.567215;33.251174
"전기차 충전소";"녹지제주헬스케어타운 유한회사";"제주특별자치도 서귀포시 동홍로 443 (동홍동)";"";126.558152;33.285529
"전기차 충전소";"서귀포테니스장";"제주특별자치도 서귀포시 동홍로 99번길 36";"";126.564286;33.257713
"전기차 충전소";"코리아마트";"제주특별자치도 서귀포시 동홍서로 42-6(동홍동)";"";126.570114;33.252389
"전기차 충전소";"퐁낭작은도서관 앞 공영주차장(비석거리)";"제주특별자치도 서귀포시 동홍중앙로 56(동홍동)";"";126.572264;33.255452
"전기차 충전소";"서귀포 자기주도학습지원센터";"제주특별자치도 서귀포시 동홍중앙로7번길 19";"";126.570389;33.251283
"전기차 충전소";"막동주차장";"제주특별자치도 서귀포시 막동산로 48(서호동)";"";126.52094;33.255898
"전기차 충전소";"강정포구횟집";"제주특별자치도 서귀포시 말질로 274";"";126.475845;33.228829
"전기차 충전소";"더베이리조트";"제주특별자치도 서귀포시 문필로35번길 46(보목동)";"";126.593503;33.241223
"전기차 충전소";"(주)이레";"제주특별자치도 서귀포시 번영로 2564-21";"";126.805064;33.377175
"전기차 충전소";"한국전력 제주본주 서귀포지사";"제주특별자치도 서귀포시 법환동 734";"";126.511128;33.254221
"전기차 충전소";"월드컵경기장 인근 공영주차장";"제주특별자치도 서귀포시 법환동 870";"";126.510906;33.247709
"전기차 충전소";"귤낭하우스";"제주특별자치도 서귀포시 법환동 94-3";"";126.52198;33.243198
"전기차 충전소";"오랑제리펜션";"제주특별자치도 서귀포시 법환상로 2번길 58";"";126.514498;33.24465
"전기차 충전소";"장안그랜드빌리지자치회";"제주특별자치도 서귀포시 보목동 1280";"";126.597276;33.241464
"전기차 충전소";"밀레니엄빌";"제주특별자치도 서귀포시 보목로 64번길 196";"";126.589964;33.245132
"전기차 충전소";"보목하수처리장";"제주특별자치도 서귀포시 보목로64번길 155(보목동)";"";126.591132;33.242585
"전기차 충전소";"자치경찰단서귀포지역대청사";"제주특별자치도 서귀포시 부두로 1(서귀동)";"";126.565739;33.244981
"전기차 충전소";"자치경찰단서귀포지역대청사";"제주특별자치도 서귀포시 부두로 1(서귀동)";"";126.565739;33.244981
"전기차 충전소";"해담은";"제주특별자치도 서귀포시 사계북로 157-17";"";126.283057;33.231771
"전기차 충전소";"제주아이브";"제주특별자치도 서귀포시 산록남로 1966-34";"";126.496582;33.288361
"전기차 충전소";"치유의숲";"제주특별자치도 서귀포시 산록남로 2271";"";126.52475;33.294171
"전기차 충전소";"누가빌리지 주식회사";"제주특별자치도 서귀포시 산록남로 2704";"";126.573286;33.296829
"전기차 충전소";"㈜상효원";"제주특별자치도 서귀포시 산록남로 2847-37(상효동)";"";126.586002;33.307226
"전기차 충전소";"색달쓰레기매립장";"제주특별자치도 서귀포시 산록남로1241번길 145(색달동)";"";126.41808;33.307239
"전기차 충전소";"색달쓰레기매립장";"제주특별자치도 서귀포시 산록남로1241번길 145(색달동)";"";126.41808;33.307239
"전기차 충전소";"모던플레이스";"제주특별자치도 서귀포시 상예동 185-1";"";126.394748;33.267938
"전기차 충전소";"㈜레이크힐스리조트제주";"제주특별자치도 서귀포시 상예동 4611";"";126.377136;33.267357
"전기차 충전소";"중문예촌펜션";"제주특별자치도 서귀포시 상예로 249-9(상예동)";"";126.393887;33.268062
"전기차 충전소";"대유랜드";"제주특별자치도 서귀포시 상예로 381(상예동)";"";126.393628;33.278111
"전기차 충전소";"영농조합법인 서귀포 한라";"제주특별자치도 서귀포시 상효동 1124";"";126.598875;33.300592
"전기차 충전소";"제스코마트 서귀포점";"제주특별자치도 서귀포시 상효로 39(상효동)";"";126.595917;33.262709
"전기차 충전소";"오아시스휴양펜션";"제주특별자치도 서귀포시 상효로 74-10";"";126.59919;33.266785
"전기차 충전소";"중문관광단지";"제주특별자치도 서귀포시 색달동 2889-1";"";126.414536;33.24613
"전기차 충전소";"중문리조트";"제주특별자치도 서귀포시 색달로 117";"";126.415644;33.262589
"전기차 충전소";"호텔더본제주";"제주특별자치도 서귀포시 색달로 18";"";126.40671;33.259319
"전기차 충전소";"중앙공영주차장";"제주특별자치도 서귀포시 서귀동 291-63";"";126.562095;33.249934
"전기차 충전소";"중앙공영주차장";"제주특별자치도 서귀포시 서귀동 291-63";"";126.562095;33.249934
"전기차 충전소";"천지공영주차장";"제주특별자치도 서귀포시 서귀동 305-1외 2필지";"";126.559342;33.251588
"전기차 충전소";"아랑조을거리 공영주차장";"제주특별자치도 서귀포시 서귀동 312-6";"";126.560241;33.247803
"전기차 충전소";"정방동공영주차장";"제주특별자치도 서귀포시 서귀동 403-3";"";126.565306;33.247835
"전기차 충전소";"서귀포성당 뒤 주차장(솔동산로근처)";"제주특별자치도 서귀포시 서귀동 600-3";"";126.562884;33.243677
"전기차 충전소";"파인힐호텔";"제주특별자치도 서귀포시 서귀동 776-1";"";126.564403;33.24136
"전기차 충전소";"평생학습관 주차장";"제주특별자치도 서귀포시 서문로29번길 10(서귀동)";"";126.558758;33.249292
"전기차 충전소";"대륜동문화복지센터";"제주특별자치도 서귀포시 서호남로 10(법환동)";"";126.513364;33.250182
"전기차 충전소";"서귀포 해양경비안전서";"제주특별자치도 서귀포시 서호남로 11(서호동)";"";126.513442;33.251301
"전기차 충전소";"서귀포소방서";"제주특별자치도 서귀포시 서호남로 20(법환동)";"";126.514068;33.249811
"전기차 충전소";"서귀포혁신도시공영주차장(국토교통부인재개발원 앞)";"제주특별자치도 서귀포시 서호동 1603";"";126.515692;33.252112
"전기차 충전소";"샤뜰레펜션";"제주특별자치도 서귀포시 서호호근로 46번길 68";"";126.528797;33.248102
"전기차 충전소";"휴마루 호스텔 카페";"제주특별자치도 서귀포시 서홍동 1777-3";"";126.542667;33.261285
"전기차 충전소";"CU 서귀외돌개점";"제주특별자치도 서귀포시 서홍동 643";"";126.554705;33.24388
"전기차 충전소";"걸매축구장";"제주특별자치도 서귀포시 서홍로 4-26(서홍동)";"";126.554459;33.249665
"전기차 충전소";"성산하수처리장";"제주특별자치도 서귀포시 성산읍 고성동서로 115";"";126.918979;33.451757
"전기차 충전소";"플레이스";"제주특별자치도 서귀포시 성산읍 고성리 297-1";"";126.918291;33.449984
"전기차 충전소";"성산읍 공영주차장";"제주특별자치도 서귀포시 성산읍 고성리 327-1";"";126.916684;33.448572
"전기차 충전소";"튤립제주에이엠씨";"제주특별자치도 서귀포시 성산읍 고성리 329-1";"";126.916164;33.447982
"전기차 충전소";"제주티라";"제주특별자치도 서귀포시 성산읍 고성리 437-1";"";126.918511;33.442601
"전기차 충전소";"호텔마레";"제주특별자치도 서귀포시 성산읍 고성리 444-7";"";126.918822;33.441811
"전기차 충전소";"성산포 성당";"제주특별자치도 서귀포시 성산읍 고성오조로 120";"";126.914086;33.454212
"전기차 충전소";"성산보건지소";"제주특별자치도 서귀포시 성산읍 고성오조로 42";"";126.915674;33.44676
"전기차 충전소";"디아일랜드마리나호텔";"제주특별자치도 서귀포시 성산읍 고성오조로 94";"";126.914403;33.452069
"전기차 충전소";"휴리조트";"제주특별자치도 서귀포시 성산읍 난고로 228";"";126.894008;33.420908
"전기차 충전소";"더썸하우스";"제주특별자치도 서귀포시 성산읍 난고로 42번길 110";"";126.906747;33.443319
"전기차 충전소";"키아오라 펜션";"제주특별자치도 서귀포시 성산읍 난고로 42번길 3";"";126.904506;33.434264
"전기차 충전소";"난산리마을회";"제주특별자치도 서귀포시 성산읍 난산로 39";"";126.870802;33.401197
"전기차 충전소";"난산리 다목적회관";"제주특별자치도 서귀포시 성산읍 난산로41번길 5";"";126.870912;33.401
"전기차 충전소";"제주황금다래영농조합법인";"제주특별자치도 서귀포시 성산읍 남산봉로 120";"";126.827737;33.372541
"전기차 충전소";"김영갑갤러리";"제주특별자치도 서귀포시 성산읍 삼달로 137";"";126.854124;33.372075
"전기차 충전소";"지에스25(GS25)수산삼거리점";"제주특별자치도 서귀포시 성산읍 서성일로 1029";"";126.888654;33.4436
"전기차 충전소";"블루핸즈(성산점)";"제주특별자치도 서귀포시 성산읍 서성일로 1194";"";126.906122;33.446018
"전기차 충전소";"KT성산포지점";"제주특별자치도 서귀포시 성산읍 서성일로 1244-3";"";126.91178;33.446825
"전기차 충전소";"모구리야영장";"제주특별자치도 서귀포시 성산읍 서성일로 260";"";126.821612;33.405951
"전기차 충전소";"주식회사 어라운드폴리";"제주특별자치도 서귀포시 성산읍 서성일로 433";"";126.835825;33.415507
"전기차 충전소";"고투베드";"제주특별자치도 서귀포시 성산읍 서성일로 660";"";126.855098;33.427327
"전기차 충전소";"GS성산아로하점";"제주특별자치도 서귀포시 성산읍 성산등용로 40";"";126.930995;33.466449
"전기차 충전소";"브리즈베이호텔";"제주특별자치도 서귀포시 성산읍 성산등용로 42";"";126.930843;33.466601
"전기차 충전소";"성산포 공영주차장(야외)";"제주특별자치도 서귀포시 성산읍 성산리 347-9";"";126.93233;33.472574
"전기차 충전소";"청솔나무집";"제주특별자치도 서귀포시 성산읍 성산중앙로 25";"";126.932153;33.46242
"전기차 충전소";"성산리사무소";"제주특별자치도 서귀포시 성산읍 성산중앙로 46";"";126.934031;33.463662
"전기차 충전소";"수산1리 복지회관";"제주특별자치도 서귀포시 성산읍 수산서남로 17";"";126.882958;33.445829
"전기차 충전소";"아띠랑스";"제주특별자치도 서귀포시 성산읍 시흥리 10";"";126.909201;33.477539
